tag_ident,Gender,Date,Hour,Distance,Season,month-day
1750,f,6/17/2011,1,13.76069557,Spring,17-Jun
1750,f,6/17/2011,2,13.44047218,Spring,17-Jun
1750,f,6/17/2011,3,63.03249008,Spring,17-Jun
1750,f,6/17/2011,4,0.211316487,Spring,17-Jun
1750,f,6/17/2011,17,81.53815138,Spring,17-Jun
1750,f,6/17/2011,18,258.7135607,Spring,17-Jun
1750,f,6/17/2011,19,110.8628532,Spring,17-Jun
1750,f,6/17/2011,20,293.6514234,Spring,17-Jun
1750,f,6/17/2011,21,170.1017022,Spring,17-Jun
1750,f,6/17/2011,22,46.69001325,Spring,17-Jun
1750,f,6/17/2011,23,113.2812634,Spring,17-Jun
1750,f,6/18/2011,0,33.68985273,Spring,18-Jun
1750,f,6/18/2011,1,75.75503237,Spring,18-Jun
1750,f,6/18/2011,2,48.52135636,Spring,18-Jun
1750,f,6/18/2011,3,46.27595379,Spring,18-Jun
1751,m,6/3/2011,21,1.683763215,Spring,3-Jun
1751,m,6/3/2011,22,161.6098342,Spring,3-Jun
1751,m,6/3/2011,23,27.34634878,Spring,3-Jun
1751,m,6/4/2011,0,15.20917416,Spring,4-Jun
1751,m,6/4/2011,1,63.59444997,Spring,4-Jun
1751,m,6/4/2011,2,22.07164255,Spring,4-Jun
1751,m,6/4/2011,3,92.12408837,Spring,4-Jun
1751,m,6/4/2011,4,4.257994993,Spring,4-Jun
1751,m,6/4/2011,17,330.1327825,Spring,4-Jun
1751,m,6/4/2011,18,77.42733062,Spring,4-Jun
1751,m,6/4/2011,19,28.40934873,Spring,4-Jun
1751,m,6/4/2011,20,25.63697638,Spring,4-Jun
1751,m,6/4/2011,21,14.60922698,Spring,4-Jun
1751,m,6/4/2011,22,21.72030904,Spring,4-Jun
1751,m,6/4/2011,23,59.79795692,Spring,4-Jun
1751,m,6/5/2011,0,344.6654786,Spring,5-Jun
1751,m,6/5/2011,1,150.2877727,Spring,5-Jun
1751,m,6/5/2011,2,52.64437052,Spring,5-Jun
1751,m,6/5/2011,3,111.9382136,Spring,5-Jun
1751,m,6/5/2011,4,1.526965941,Spring,5-Jun
1751,m,6/5/2011,17,80.78900591,Spring,5-Jun
1751,m,6/5/2011,18,40.16052379,Spring,5-Jun
1751,m,6/5/2011,19,48.15124598,Spring,5-Jun
1751,m,6/5/2011,20,32.49761064,Spring,5-Jun
1751,m,6/5/2011,21,17.71656216,Spring,5-Jun
1751,m,6/5/2011,22,53.88257267,Spring,5-Jun
1751,m,6/5/2011,23,33.99450989,Spring,5-Jun
1751,m,6/6/2011,0,27.60872492,Spring,6-Jun
1751,m,6/6/2011,1,49.54570387,Spring,6-Jun
1751,m,6/6/2011,2,159.0870313,Spring,6-Jun
1751,m,6/6/2011,3,179.5964194,Spring,6-Jun
1751,m,6/6/2011,4,3.382188255,Spring,6-Jun
1751,m,6/6/2011,17,20.21619323,Spring,6-Jun
1751,m,6/6/2011,18,171.8875256,Spring,6-Jun
1751,m,6/6/2011,19,85.30648086,Spring,6-Jun
1751,m,6/6/2011,20,202.0562629,Spring,6-Jun
1751,m,6/6/2011,21,73.33189747,Spring,6-Jun
1751,m,6/6/2011,22,45.64951272,Spring,6-Jun
1751,m,6/6/2011,23,49.73762101,Spring,6-Jun
1751,m,6/7/2011,0,52.70065961,Spring,7-Jun
1751,m,6/7/2011,1,12.24788224,Spring,7-Jun
